,date,sales,days,day
0,2013-01-01,810.0,1,1
1,2013-01-02,72092.0,2,2
2,2013-01-03,52105.0,3,3
3,2013-01-04,54167.0,4,4
4,2013-01-05,77818.0,5,5
5,2013-01-06,86184.0,6,6
6,2013-01-07,51619.0,7,7
7,2013-01-08,46941.0,8,8
8,2013-01-09,47910.0,9,9
9,2013-01-10,42390.0,10,10
10,2013-01-11,50793.0,11,11
11,2013-01-12,72754.0,12,12
12,2013-01-13,82854.0,13,13
13,2013-01-14,50195.0,14,14
14,2013-01-15,46604.0,15,15
15,2013-01-16,49122.0,16,16
16,2013-01-17,41646.0,17,17
17,2013-01-18,50245.0,18,18
18,2013-01-19,77014.0,19,19
19,2013-01-20,83841.0,20,20
20,2013-01-21,51118.0,21,21
21,2013-01-22,42931.0,22,22
22,2013-01-23,43549.0,23,23
23,2013-01-24,38394.0,24,24
24,2013-01-25,46689.0,25,25
25,2013-01-26,69586.0,26,26
26,2013-01-27,70851.0,27,27
27,2013-01-28,42178.0,28,28
28,2013-01-29,40592.0,29,29
29,2013-01-30,44583.0,30,30
30,2013-01-31,43078.0,31,31
31,2013-02-01,56866.0,32,32
32,2013-02-02,79804.0,33,33
33,2013-02-03,72329.0,34,34
34,2013-02-04,44528.0,35,35
35,2013-02-05,42741.0,36,36
36,2013-02-06,46479.0,37,37
37,2013-02-07,46000.0,38,38
38,2013-02-08,62111.0,39,39
39,2013-02-09,67626.0,40,40
40,2013-02-10,52689.0,41,41
41,2013-02-11,47522.0,42,42
42,2013-02-12,47483.0,43,43
43,2013-02-13,46575.0,44,44
44,2013-02-14,41366.0,45,45
45,2013-02-15,51659.0,46,46
46,2013-02-16,81385.0,47,47
47,2013-02-17,66902.0,48,48
48,2013-02-18,51503.0,49,49
49,2013-02-19,43284.0,50,50
50,2013-02-20,47312.0,51,51
51,2013-02-21,41292.0,52,52
52,2013-02-22,46619.0,53,53
53,2013-02-23,69259.0,54,54
54,2013-02-24,77335.0,55,55
55,2013-02-25,48718.0,56,56
56,2013-02-26,41366.0,57,57
57,2013-02-27,44791.0,58,58
58,2013-02-28,42710.0,59,59
59,2013-03-01,56760.0,60,60
60,2013-03-02,86736.0,61,61
61,2013-03-03,87516.0,62,62
62,2013-03-04,55912.0,63,63
63,2013-03-05,51642.0,64,64
64,2013-03-06,50242.0,65,65
65,2013-03-07,46922.0,66,66
