,date,sales,day
0,2013-01-01,700.0,1
1,2013-01-02,202020.0,2
2,2013-01-03,144878.0,3
3,2013-01-04,135754.0,4
4,2013-01-05,188356.0,5
5,2013-01-06,207297.0,6
6,2013-01-07,133189.0,7
7,2013-01-08,133290.0,8
8,2013-01-09,115871.0,9
9,2013-01-10,96200.0,10
10,2013-01-11,103280.0,11
11,2013-01-12,151025.0,12
12,2013-01-13,183099.0,13
13,2013-01-14,112128.0,14
14,2013-01-15,114578.0,15
15,2013-01-16,124276.0,16
16,2013-01-17,103443.0,17
17,2013-01-18,106982.0,18
18,2013-01-19,165079.0,19
19,2013-01-20,180666.0,20
20,2013-01-21,122481.0,21
21,2013-01-22,123066.0,22
22,2013-01-23,112342.0,23
23,2013-01-24,96882.0,24
24,2013-01-25,107648.0,25
25,2013-01-26,159843.0,26
26,2013-01-27,172363.0,27
27,2013-01-28,115001.0,28
28,2013-01-29,104878.0,29
29,2013-01-30,109595.0,30
30,2013-01-31,106030.0,31
31,2013-02-01,143725.0,32
32,2013-02-02,209880.0,33
33,2013-02-03,200916.0,34
34,2013-02-04,145431.0,35
35,2013-02-05,136560.0,36
36,2013-02-06,130045.0,37
37,2013-02-07,115368.0,38
38,2013-02-08,135989.0,39
39,2013-02-09,165328.0,40
40,2013-02-10,116520.0,41
41,2013-02-11,106539.0,42
42,2013-02-12,123067.0,43
43,2013-02-13,132882.0,44
44,2013-02-14,139200.0,45
45,2013-02-15,125907.0,46
46,2013-02-16,199339.0,47
47,2013-02-17,164343.0,48
48,2013-02-18,146894.0,49
49,2013-02-19,122032.0,50
50,2013-02-20,129748.0,51
51,2013-02-21,107321.0,52
52,2013-02-22,109427.0,53
53,2013-02-23,165049.0,54
54,2013-02-24,185535.0,55
55,2013-02-25,124754.0,56
56,2013-02-26,109465.0,57
57,2013-02-27,116218.0,58
58,2013-02-28,111918.0,59
59,2013-03-01,152910.0,60
60,2013-03-02,228251.0,61
61,2013-03-03,236046.0,62
62,2013-03-04,161101.0,63
63,2013-03-05,137837.0,64
64,2013-03-06,138260.0,65
65,2013-03-07,116964.0,66
66,2013-03-08,126782.0,67
67,2013-03-09,179740.0,68
68,2013-03-10,188374.0,69
69,2013-03-11,129310.0,70
70,2013-03-12,110553.0,71
71,2013-03-13,113734.0,72
72,2013-03-14,97180.0,73
73,2013-03-15,121756.0,74
74,2013-03-16,196087.0,75
75,2013-03-17,213852.0,76
76,2013-03-18,139653.0,77
77,2013-03-19,122446.0,78
78,2013-03-20,134763.0,79
79,2013-03-21,110724.0,80
80,2013-03-22,118742.0,81
81,2013-03-23,181659.0,82
82,2013-03-24,187229.0,83
83,2013-03-25,131191.0,84
84,2013-03-26,115064.0,85
85,2013-03-27,131166.0,86
86,2013-03-28,142282.0,87
87,2013-03-29,138065.0,88
88,2013-03-30,184463.0,89
89,2013-03-31,193663.0,90
90,2013-04-01,185526.0,91
91,2013-04-02,162516.0,92
92,2013-04-03,158484.0,93
93,2013-04-04,128403.0,94
94,2013-04-05,130952.0,95
95,2013-04-06,207627.0,96
96,2013-04-07,217132.0,97
97,2013-04-08,148646.0,98
98,2013-04-09,128563.0,99
99,2013-04-10,128249.0,100
100,2013-04-11,133566.0,101
101,2013-04-12,119148.0,102
102,2013-04-13,182298.0,103
103,2013-04-14,199989.0,104
104,2013-04-15,141263.0,105
105,2013-04-16,139074.0,106
106,2013-04-17,144229.0,107
107,2013-04-18,120743.0,108
108,2013-04-19,120012.0,109
109,2013-04-20,186817.0,110
110,2013-04-21,203746.0,111
111,2013-04-22,138701.0,112
112,2013-04-23,126857.0,113
113,2013-04-24,125819.0,114
114,2013-04-25,108821.0,115
115,2013-04-26,117492.0,116
116,2013-04-27,180046.0,117
117,2013-04-28,197889.0,118
118,2013-04-29,142972.0,119
119,2013-04-30,128434.0,120
120,2013-05-01,217274.0,121
121,2013-05-02,147836.0,122
122,2013-05-03,155859.0,123
123,2013-05-04,218874.0,124
124,2013-05-05,250530.0,125
125,2013-05-06,160731.0,126
126,2013-05-07,135374.0,127
127,2013-05-08,138804.0,128
128,2013-05-09,128308.0,129
129,2013-05-10,133719.0,130
130,2013-05-11,206691.0,131
131,2013-05-12,160069.0,132
132,2013-05-13,145115.0,133
133,2013-05-14,127139.0,134
134,2013-05-15,136767.0,135
135,2013-05-16,125700.0,136
136,2013-05-17,129706.0,137
137,2013-05-18,193969.0,138
138,2013-05-19,216205.0,139
139,2013-05-20,144910.0,140
140,2013-05-21,133407.0,141
141,2013-05-22,123455.0,142
142,2013-05-23,114071.0,143
143,2013-05-24,156277.0,144
144,2013-05-25,167502.0,145
145,2013-05-26,191257.0,146
146,2013-05-27,134052.0,147
147,2013-05-28,128291.0,148
148,2013-05-29,128057.0,149
149,2013-05-30,124240.0,150
150,2013-05-31,131910.0,151
151,2013-06-01,241945.0,152
152,2013-06-02,279006.0,153
153,2013-06-03,186352.0,154
154,2013-06-04,162192.0,155
