,date,sales,days,day
0,2013-01-01,110.801,1,1
1,2013-01-02,20871.464028,2,2
2,2013-01-03,16597.398113,3,3
3,2013-01-04,21625.963055,4,4
4,2013-01-05,20879.09105,5,5
5,2013-01-06,21880.005115,6,6
6,2013-01-07,18314.175078,7,7
7,2013-01-08,16200.319985,8,8
8,2013-01-09,19139.782952,9,9
9,2013-01-10,15144.950044000001,10,10
10,2013-01-11,20400.72507,11,11
11,2013-01-12,19029.047018,12,12
12,2013-01-13,20346.38496,13,13
13,2013-01-14,15157.171045000001,14,14
14,2013-01-15,21466.086959,15,15
15,2013-01-16,16758.84696,16,16
16,2013-01-17,15596.239996,17,17
17,2013-01-18,20140.309014,18,18
18,2013-01-19,19438.808995,19,19
19,2013-01-20,19616.94404,20,20
20,2013-01-21,14964.11804,21,21
21,2013-01-22,14906.88098,22,22
22,2013-01-23,14830.374015,23,23
23,2013-01-24,14439.947,24,24
24,2013-01-25,18415.62099,25,25
25,2013-01-26,19899.224978,26,26
26,2013-01-27,19056.240144,27,27
27,2013-01-28,14206.666006,28,28
28,2013-01-29,14320.175069,29,29
29,2013-01-30,13814.120049,30,30
30,2013-01-31,15586.90201,31,31
31,2013-02-01,22128.331272,32,32
32,2013-02-02,23947.553056,33,33
33,2013-02-03,20703.611134,34,34
34,2013-02-04,18700.978049,35,35
35,2013-02-05,15899.33105,36,36
36,2013-02-06,18319.306128,37,37
37,2013-02-07,15303.384936,38,38
38,2013-02-08,18571.688984,39,39
39,2013-02-09,20139.729021,40,40
40,2013-02-10,12895.585014,41,41
41,2013-02-11,12922.622,42,42
42,2013-02-12,14062.627998,43,43
43,2013-02-13,14384.17898,44,44
44,2013-02-14,15119.58001,45,45
45,2013-02-15,18597.42699,46,46
46,2013-02-16,23078.065998000002,47,47
47,2013-02-17,16732.557975,48,48
48,2013-02-18,17019.630112,49,49
49,2013-02-19,15522.627967,50,50
50,2013-02-20,15074.818019,51,51
51,2013-02-21,15218.02304,52,52
52,2013-02-22,17697.895058,53,53
53,2013-02-23,19033.628008,54,54
54,2013-02-24,18946.185991,55,55
55,2013-02-25,14386.162905,56,56
56,2013-02-26,15373.644058,57,57
57,2013-02-27,16290.144955,58,58
58,2013-02-28,14285.640988,59,59
59,2013-03-01,21188.517969,60,60
60,2013-03-02,24000.71213,61,61
61,2013-03-03,22957.833016,62,62
62,2013-03-04,19374.249156,63,63
63,2013-03-05,16526.522098,64,64
64,2013-03-06,17772.404956,65,65
65,2013-03-07,15972.838015,66,66
66,2013-03-08,17607.649964,67,67
67,2013-03-09,20406.66497,68,68
68,2013-03-10,18953.579994,69,69
69,2013-03-11,15164.973,70,70
70,2013-03-12,13427.720031,71,71
71,2013-03-13,14739.408956,72,72
72,2013-03-14,14186.026095,73,73
73,2013-03-15,18044.760189,74,74
74,2013-03-16,20405.665965,75,75
75,2013-03-17,20549.189915,76,76
76,2013-03-18,15073.459005,77,77
77,2013-03-19,16344.20192,78,78
78,2013-03-20,14712.96397,79,79
79,2013-03-21,15246.18996,80,80
80,2013-03-22,17167.918986,81,81
81,2013-03-23,18677.824950000002,82,82
82,2013-03-24,17413.326908,83,83
83,2013-03-25,15029.379998,84,84
84,2013-03-26,11727.513949,85,85
85,2013-03-27,11380.131045,86,86
86,2013-03-28,13092.246031,87,87
87,2013-03-29,12440.103964,88,88
88,2013-03-30,17847.59199,89,89
89,2013-03-31,18101.773992,90,90
90,2013-04-01,20948.115934,91,91
91,2013-04-02,17594.184936,92,92
92,2013-04-03,17686.411864,93,93
93,2013-04-04,15746.31298,94,94
94,2013-04-05,20537.613997,95,95
95,2013-04-06,23106.060999,96,96
96,2013-04-07,20998.976934,97,97
97,2013-04-08,14505.46699,98,98
98,2013-04-09,16580.308984,99,99
99,2013-04-10,14642.17799,100,100
100,2013-04-11,15014.20803,101,101
101,2013-04-12,17962.606974,102,102
102,2013-04-13,18232.883039,103,103
